perform,leader,latest,fun,serious,bargain,value,trendy,rebuy,brand
3,3,6,6,3,4,7,2,7,LG
7,7,1,2,3,6,6,1,6,LG
10,4,1,7,3,5,8,2,10,LG
10,1,3,6,2,3,6,4,5,LG
10,1,4,1,1,8,8,2,7,LG
10,5,3,1,3,8,7,1,9,LG
2,1,1,4,1,6,8,1,9,LG
10,4,1,4,3,5,6,1,7,LG
7,2,1,5,2,6,8,1,5,LG
10,8,4,6,6,6,8,1,8,LG
1,1,2,5,3,5,7,2,9,LG
6,1,1,3,3,4,6,1,6,LG
1,1,1,2,1,6,6,1,9,LG
4,3,2,1,2,5,6,1,7,LG
10,3,6,3,3,8,7,3,6,LG
3,1,3,2,3,6,8,2,3,LG
5,4,1,4,2,9,8,1,7,LG
2,1,4,7,1,7,7,4,5,LG
7,8,3,4,6,8,9,2,7,LG
10,4,2,6,2,7,7,2,5,LG
10,7,1,4,4,10,10,1,10,LG
1,1,1,6,1,7,7,1,10,LG
8,4,8,9,5,5,6,4,8,LG
10,3,1,3,2,4,6,1,6,LG
8,4,4,3,3,9,7,3,10,LG
10,6,2,6,5,5,8,2,8,LG
5,1,2,4,1,4,6,2,6,LG
7,1,1,1,1,8,8,1,10,LG
10,7,2,3,5,3,6,1,9,LG
3,6,2,5,1,6,9,1,8,LG
10,3,2,7,3,9,8,1,8,LG
10,5,1,2,4,6,7,1,5,LG
10,6,1,1,1,7,8,1,10,LG
9,6,4,7,3,9,8,2,6,LG
4,8,2,9,4,4,5,1,8,LG
10,2,2,10,5,10,10,3,7,LG
10,6,1,8,3,6,7,1,6,LG
6,3,5,5,4,10,9,4,8,LG
5,3,1,5,3,8,9,1,6,LG
9,1,1,2,2,9,8,1,10,LG
8,2,4,4,2,5,6,2,8,LG
9,5,2,2,2,9,8,2,9,LG
10,4,2,5,2,10,10,1,7,LG
3,3,3,4,2,9,9,1,6,LG
9,2,5,10,2,5,7,3,10,LG
3,2,1,7,5,7,8,2,6,LG
10,4,1,6,4,7,7,2,9,LG
10,9,7,6,3,6,7,3,9,LG
7,4,3,9,1,8,9,1,6,LG
10,4,5,3,7,9,8,3,8,LG
4,6,2,3,1,6,10,2,9,LG
10,4,1,5,1,8,7,3,9,LG
1,1,3,8,2,7,7,2,5,LG
10,6,1,3,5,5,6,1,4,LG
6,2,1,4,2,4,7,1,6,LG
10,7,3,1,2,6,7,1,6,LG
9,1,4,2,4,7,8,1,7,LG
10,9,4,8,7,6,8,4,4,LG
5,5,3,5,6,6,6,1,4,LG
5,1,1,1,2,7,8,1,8,LG
6,6,1,3,1,10,8,1,8,LG
10,2,4,7,3,5,6,2,5,LG
7,1,2,8,3,9,9,4,9,LG
10,1,1,6,2,5,5,1,5,LG
3,4,1,1,3,9,10,1,7,LG
7,5,5,6,2,6,8,4,2,LG
4,3,7,8,2,3,1,6,1,HP
6,4,9,9,5,2,4,9,4,HP
8,4,10,10,3,2,2,10,1,HP
8,1,7,6,3,3,6,7,1,HP
5,6,10,10,6,3,2,8,2,HP
2,4,6,8,5,2,3,7,1,HP
1,3,8,5,4,1,1,5,2,HP
9,3,7,10,4,1,1,7,1,HP
2,1,5,10,3,2,1,6,1,HP
2,4,7,9,3,1,2,10,3,HP
1,1,9,7,4,4,6,8,2,HP
2,1,7,8,4,2,3,8,2,HP
5,5,5,10,4,1,2,4,1,HP
4,5,8,8,3,1,1,10,3,HP
7,5,7,10,3,3,1,6,2,HP
6,1,10,9,4,2,1,5,1,HP
1,1,7,10,4,1,3,10,4,HP
1,5,5,5,4,1,1,8,1,HP
4,1,10,7,5,2,6,9,1,HP
6,6,8,10,5,1,6,7,1,HP
1,5,10,7,4,1,1,8,1,HP
6,2,8,10,5,2,1,8,3,HP
2,1,9,10,1,4,3,7,3,HP
3,1,10,8,3,1,2,10,5,HP
1,4,10,10,1,1,1,9,1,HP
10,5,10,9,3,1,1,10,1,HP
5,6,7,7,4,5,4,6,4,HP
6,2,7,8,3,3,1,10,1,HP
4,4,10,10,4,3,1,10,1,HP
9,5,7,5,6,1,1,9,5,HP
1,3,8,7,6,2,1,6,2,HP
5,5,6,9,4,1,1,9,1,HP
1,4,8,8,4,1,1,10,1,HP
6,2,8,8,2,1,1,8,1,HP
8,9,7,8,5,2,3,9,4,HP
3,1,10,6,5,1,1,9,2,HP
4,2,9,8,2,2,1,9,1,HP
1,2,7,8,2,7,8,6,1,HP
4,3,10,6,2,2,4,8,1,HP
4,4,9,8,3,1,3,8,1,HP
10,6,8,6,4,2,1,8,3,HP
10,8,9,10,5,1,1,5,2,HP
2,2,9,8,3,5,7,7,1,HP
7,1,9,7,4,3,4,6,7,HP
4,6,8,7,4,5,4,6,4,HP
3,5,8,7,5,1,1,7,1,HP
4,1,5,6,5,3,1,6,4,HP
1,1,6,9,5,2,2,9,2,HP
1,1,10,10,2,1,1,8,1,HP
1,1,10,10,2,4,2,10,1,HP
1,4,8,6,6,1,4,8,3,HP
8,5,7,8,3,1,3,5,1,HP
3,1,7,7,5,4,1,7,1,HP
10,9,7,9,5,1,4,6,1,HP
4,1,6,4,5,3,4,6,3,HP
9,4,7,10,2,2,1,6,4,HP
10,10,7,10,5,4,1,8,1,HP
1,2,4,10,4,1,1,6,2,HP
7,7,10,8,3,6,6,6,4,HP
1,1,6,8,1,1,1,6,1,HP
4,3,6,5,3,1,2,5,3,HP
3,1,8,9,1,3,2,7,2,HP
6,6,9,7,6,1,2,8,1,HP
1,4,8,9,6,2,3,7,2,HP
5,5,6,8,3,3,5,6,1,HP
1,3,7,8,6,4,4,8,5,HP
1,1,7,9,2,3,1,8,3,HP
5,5,9,8,7,1,1,7,1,HP
7,7,9,6,2,3,2,7,1,HP
1,2,4,6,6,2,1,4,6,HP
10,7,9,7,5,1,1,8,1,HP
1,6,8,9,4,2,4,9,4,HP
10,4,9,10,4,6,3,9,2,HP
8,4,9,9,6,1,3,8,6,HP
1,1,3,8,3,2,1,6,1,HP
6,8,10,10,4,1,4,8,1,HP
9,5,6,9,4,1,1,8,1,HP
3,4,6,10,6,1,1,9,1,HP
1,4,5,4,3,4,1,5,4,HP
1,1,10,6,5,4,6,9,1,HP
10,6,5,10,5,5,7,10,2,HP
5,4,5,6,1,1,2,7,1,HP
3,7,5,9,8,2,3,7,1,HP
6,2,3,8,6,1,3,7,5,HP
8,4,6,9,4,1,1,10,1,HP
5,7,10,10,7,3,2,9,3,HP
3,3,9,9,5,1,1,7,4,HP
3,2,10,6,4,3,4,6,4,HP
1,1,9,7,1,4,2,8,2,HP
4,3,10,8,5,1,3,7,1,HP
1,1,7,6,3,2,1,7,1,HP
8,4,7,8,5,2,4,8,2,HP
4,6,10,6,3,4,2,8,1,HP
9,7,7,10,4,3,4,8,2,HP
1,1,7,6,3,3,2,9,4,HP
10,5,10,10,4,3,3,9,4,HP
8,4,8,8,5,1,3,8,1,HP
1,1,10,6,1,2,1,9,1,HP
3,3,7,5,2,1,1,6,2,HP
2,2,8,10,6,9,6,8,8,HP
7,5,10,1,5,1,1,8,2,Apple
2,6,8,3,9,8,5,5,7,Apple
8,5,10,10,4,7,4,10,3,Apple
9,4,3,3,1,1,2,3,3,Apple
8,6,7,8,9,3,1,3,1,Apple
5,1,7,5,4,1,1,10,3,Apple
6,1,10,10,3,5,4,9,6,Apple
5,1,5,10,5,1,2,10,1,Apple
10,2,10,10,1,4,5,6,4,Apple
1,1,7,5,4,1,1,4,1,Apple
4,7,10,3,6,3,2,10,1,Apple
8,1,5,10,6,8,3,8,5,Apple
2,4,6,8,5,2,1,5,1,Apple
9,4,10,10,8,3,4,9,3,Apple
4,1,10,10,5,3,2,10,2,Apple
3,1,10,10,4,1,1,5,5,Apple
10,4,6,3,1,1,1,7,6,Apple
10,6,9,6,4,9,5,10,4,Apple
9,2,7,10,6,8,4,7,1,Apple
1,4,8,5,5,5,5,5,1,Apple
3,4,5,10,1,1,1,1,7,Apple
4,4,9,4,1,1,1,8,2,Apple
6,2,10,4,1,1,2,9,8,Apple
7,3,5,10,6,10,3,8,3,Apple
6,1,4,10,5,1,1,7,1,Apple
1,1,4,10,6,2,1,2,2,Apple
2,5,10,2,2,2,2,8,1,Apple
1,1,6,5,2,3,2,10,4,Apple
2,5,10,4,1,1,2,10,3,Apple
6,4,10,8,1,4,5,7,6,Apple
9,9,10,9,7,4,2,10,8,Apple
9,8,10,10,9,4,3,8,3,Apple
7,4,10,1,3,7,5,7,8,Apple
1,3,10,10,1,1,1,10,1,Apple
7,4,8,1,1,3,1,2,1,Apple
4,5,7,1,5,3,2,8,3,Apple
5,1,8,10,3,9,2,7,5,Apple
8,3,4,9,7,3,4,5,4,Apple
2,3,10,7,7,5,3,6,1,Apple
5,5,6,10,5,8,3,4,2,Apple
2,1,10,10,5,9,6,10,3,Apple
4,2,5,10,9,2,1,5,6,Apple
10,3,4,10,6,1,2,6,4,Apple
9,3,10,10,1,1,3,10,3,Apple
5,4,10,10,2,7,3,10,3,Apple
5,7,7,10,5,3,2,8,7,Apple
6,3,9,10,1,4,2,5,6,Apple
9,2,10,10,2,1,2,9,3,Apple
10,7,7,4,1,4,3,8,2,Apple
4,1,8,3,1,10,6,6,6,Apple
4,3,10,4,1,7,3,6,2,Apple
8,4,10,1,5,6,4,5,2,Apple
6,4,10,10,3,4,3,8,6,Apple
3,1,4,6,1,1,2,8,3,Apple
4,1,7,7,5,4,1,7,4,Apple
8,6,7,10,3,7,3,8,3,Apple
6,6,6,9,8,1,3,4,2,Apple
6,1,4,4,5,3,1,5,3,Apple
4,3,10,10,4,1,1,7,1,Apple
4,2,9,10,2,1,1,10,1,Apple
3,2,7,9,6,10,7,2,4,Apple
4,2,5,10,9,4,3,3,4,Apple
8,6,5,7,5,7,5,7,1,Apple
6,4,10,10,1,7,4,9,1,Apple
1,2,8,8,3,3,1,5,5,Apple
5,3,4,10,5,1,1,6,1,Apple
10,3,7,8,5,6,2,6,3,Apple
2,5,9,10,2,2,3,10,2,Apple
3,3,4,2,7,1,1,6,3,Apple
3,5,9,10,1,6,3,8,5,Apple
5,1,9,10,3,8,4,3,1,Apple
4,1,6,10,1,1,1,8,1,Apple
1,1,5,10,3,1,1,2,1,Apple
2,2,4,5,1,1,1,7,2,Apple
6,6,8,8,5,1,1,4,3,Apple
5,4,2,1,6,2,2,6,4,Apple
7,2,7,10,6,7,3,10,4,Apple
6,3,6,9,7,5,2,9,1,Apple
10,3,5,10,4,1,3,10,6,Apple
7,5,8,7,1,7,4,9,7,Apple
4,5,10,9,5,1,1,9,2,Apple
9,4,1,3,8,1,2,4,3,Apple
2,6,6,10,5,1,1,6,4,Apple
9,5,8,1,1,3,3,7,1,Apple
1,1,7,7,6,1,1,6,4,Apple
10,5,2,2,8,3,1,7,4,Apple
7,4,7,6,2,4,3,6,4,Apple
1,2,10,10,1,3,1,10,3,Apple
10,5,2,9,1,9,6,5,8,Apple
6,8,4,10,1,1,1,4,1,Apple
9,5,6,5,1,4,1,5,1,Apple
9,7,5,7,3,4,1,7,1,Apple
4,1,3,6,1,2,3,6,3,Apple
10,4,10,4,1,1,1,5,2,Apple
7,9,10,10,8,3,3,8,8,Apple
5,2,6,5,1,5,4,9,1,Apple
8,3,10,4,2,1,1,5,5,Apple
8,2,3,1,5,3,1,5,1,Apple
5,7,10,10,7,1,1,9,1,Apple
1,5,10,4,4,1,1,5,2,Apple
1,2,7,5,1,1,3,7,1,JBL
7,4,5,10,2,3,2,6,1,JBL
1,2,10,7,2,6,5,8,2,JBL
5,6,5,9,5,5,5,5,2,JBL
1,1,3,10,3,6,6,2,2,JBL
1,4,3,4,6,1,3,4,1,JBL
7,5,3,9,3,6,4,1,2,JBL
1,1,6,5,3,3,4,3,2,JBL
1,1,3,7,3,3,3,2,1,JBL
6,4,1,8,6,1,4,1,1,JBL
2,1,7,7,1,3,5,1,1,JBL
1,1,3,6,3,7,4,1,2,JBL
3,3,6,2,5,7,4,3,1,JBL
4,1,6,6,1,3,3,4,2,JBL
4,3,4,7,1,4,3,2,2,JBL
1,1,3,9,1,1,1,4,1,JBL
4,4,8,6,1,1,3,5,1,JBL
4,1,5,5,1,1,3,3,1,JBL
5,2,6,3,1,5,5,7,2,JBL
1,3,1,6,3,10,6,3,2,JBL
5,2,7,6,2,6,5,3,1,JBL
1,3,6,8,5,5,5,5,2,JBL
1,1,2,8,1,7,6,4,2,JBL
1,2,4,4,1,8,5,1,2,JBL
3,3,9,9,3,4,4,4,1,JBL
1,1,5,4,2,5,5,4,1,JBL
1,1,6,4,3,3,4,6,1,JBL
1,4,6,5,3,4,3,6,1,JBL
1,2,2,5,3,1,5,1,1,JBL
1,1,7,9,5,3,3,6,1,JBL
1,1,8,9,3,3,3,9,1,JBL
1,1,6,7,3,1,2,7,1,JBL
3,2,3,7,2,3,3,2,1,JBL
5,3,10,10,2,1,3,5,1,JBL
1,4,4,4,6,5,5,4,2,JBL
1,1,6,8,1,1,3,3,1,JBL
1,2,1,4,6,4,6,1,1,JBL
1,1,7,7,2,2,4,8,1,JBL
1,3,7,10,2,6,6,3,1,JBL
1,1,4,4,1,6,5,2,1,JBL
1,7,9,8,5,5,3,2,1,JBL
1,2,5,6,3,1,3,3,1,JBL
1,1,6,6,3,1,2,6,1,JBL
1,3,8,8,5,1,2,7,1,JBL
1,1,5,7,2,8,7,5,2,JBL
4,3,9,8,1,5,6,5,1,JBL
5,1,6,9,2,4,5,1,1,JBL
1,1,7,10,1,1,2,2,1,JBL
5,4,8,8,2,1,5,6,1,JBL
1,3,1,7,1,5,4,1,1,JBL
3,2,5,6,4,6,6,5,1,JBL
1,1,6,8,1,8,6,6,2,JBL
1,3,6,5,4,6,6,3,2,JBL
6,2,5,6,2,4,4,3,1,JBL
4,8,5,7,2,1,3,2,1,JBL
1,1,6,10,3,4,4,2,1,JBL
4,4,6,5,2,8,7,5,2,JBL
5,3,4,10,5,1,3,6,1,JBL
3,1,7,10,1,2,4,5,1,JBL
1,2,8,10,2,2,4,6,1,JBL
1,1,8,10,1,8,8,7,1,JBL
1,1,5,7,1,5,5,1,1,JBL
5,5,7,8,1,8,5,5,1,JBL
1,2,7,7,5,6,6,2,1,JBL
1,1,7,6,1,3,3,9,2,JBL
1,1,3,6,3,3,5,2,1,JBL
4,1,8,10,1,3,3,6,1,JBL
2,1,6,10,3,8,6,3,1,JBL
6,2,1,4,3,6,5,1,1,JBL
2,4,8,5,3,4,4,4,1,JBL
3,1,7,4,4,1,1,3,1,JBL
5,4,4,6,5,4,3,1,1,JBL
1,2,6,5,3,5,4,1,1,JBL
1,1,5,5,1,9,7,1,2,JBL
1,1,6,7,1,5,5,6,2,JBL
7,10,10,8,8,6,6,9,2,JBL
4,2,8,10,3,4,6,4,1,JBL
1,1,3,5,1,1,3,2,1,JBL
2,1,8,7,4,1,1,1,1,JBL
2,1,4,2,4,4,2,4,1,JBL
7,3,7,7,1,7,7,8,1,JBL
2,3,1,1,4,4,5,5,1,JBL
3,5,10,7,1,7,6,4,1,JBL
1,1,7,10,3,5,6,6,1,JBL
4,4,8,5,2,2,4,5,1,JBL
4,1,7,8,2,1,3,7,1,JBL
1,1,8,8,2,4,4,5,1,JBL
6,6,4,7,5,3,4,1,1,JBL
2,1,8,7,3,2,4,7,1,JBL
1,5,4,7,1,2,2,2,1,JBL
1,1,4,4,2,8,6,2,2,JBL
1,3,4,7,6,1,2,2,1,JBL
2,1,5,8,5,1,1,1,1,JBL
1,4,6,7,1,8,7,3,3,JBL
4,2,8,7,1,3,3,5,2,JBL
2,2,3,6,4,8,5,1,2,JBL
3,2,6,7,1,3,3,2,1,JBL
1,1,10,10,1,6,5,5,2,JBL
1,1,7,5,1,1,2,5,1,JBL
7,4,7,8,4,1,2,5,1,JBL
